"","ind1","ind2","ind3","ind4","ind5","ind6","ind7","ind8","ind9","ind10","ind11","ind12","ind13","ind14","ind15","ind16","ind17","ind18","ind19","ind20","ind21","ind22","ind23","ind24","ind25"
"135",1,NA,2,3,4,5,6,7,8,3,3,8,1,1,5,1,5,2,3,1,5,5,5,5,5
"136",1,NA,2,3,4,5,6,7,8,1,3,8,1,1,5,8,5,2,3,1,5,5,5,5,5
"137",1,NA,2,3,4,5,6,7,8,6,3,8,1,1,5,1,5,2,3,1,5,5,5,5,5
"138",1,NA,2,3,4,5,6,7,8,6,3,8,1,1,5,1,5,2,3,1,5,5,5,5,5
"139",1,NA,2,3,4,5,6,7,8,1,3,8,1,1,5,1,5,2,3,1,5,5,5,5,5
"140",1,NA,2,3,4,5,6,7,8,2,3,8,1,1,5,1,5,2,3,1,5,5,5,5,5
"141",1,NA,2,3,4,5,6,7,8,6,3,8,1,1,5,1,5,2,3,1,5,5,5,5,5
"142",1,NA,2,3,4,5,6,7,8,5,3,3,1,1,5,1,5,2,3,1,5,5,5,5,5
"143",1,NA,2,3,4,5,6,7,8,2,3,3,1,1,5,1,5,2,3,1,5,5,5,5,5
"144",1,NA,2,3,4,5,6,7,8,8,3,3,1,1,5,1,5,2,3,1,5,5,5,5,5
"145",1,NA,2,3,4,5,6,7,8,2,3,3,1,1,5,1,5,2,3,1,5,5,5,5,5
"146",1,NA,2,3,4,5,6,7,8,6,3,3,1,1,5,1,5,2,3,1,5,5,5,5,5
"147",1,NA,2,3,4,5,6,7,8,4,3,3,1,1,5,1,5,2,3,1,5,5,5,5,5
"148",1,NA,2,3,4,5,6,7,8,5,3,3,1,1,5,1,5,2,3,1,5,5,5,5,5
"149",1,NA,2,3,4,5,6,7,8,8,3,3,1,1,5,1,5,2,3,1,5,5,7,7,7
"150",1,NA,2,3,4,5,6,7,8,1,3,3,1,1,5,1,5,2,3,1,5,5,5,5,5
"151",1,NA,2,3,4,5,6,7,8,6,3,3,1,1,5,1,5,2,3,1,5,5,5,5,5
"152",1,NA,2,3,4,5,6,7,8,5,3,3,1,1,5,1,5,2,3,1,5,5,5,5,5
"153",1,NA,2,3,4,5,6,7,8,7,7,3,1,1,5,1,5,2,7,1,5,5,5,5,5
"154",1,NA,2,3,4,5,6,7,8,5,3,3,1,1,5,1,5,2,3,1,5,5,5,5,5
"155",1,NA,2,3,4,5,6,7,8,2,3,3,1,1,5,1,5,2,3,1,5,5,5,5,5
"156",1,NA,2,3,4,5,6,7,8,2,3,3,1,1,5,1,5,2,3,1,5,5,5,5,5
"157",1,NA,2,3,4,5,6,7,8,5,3,3,1,1,5,1,5,2,3,1,5,5,5,5,5
"158",1,NA,2,3,4,5,6,7,8,8,7,3,1,1,5,1,5,2,7,1,5,5,5,5,5
"159",1,NA,2,3,4,5,6,7,8,8,3,3,1,1,5,1,5,2,3,1,5,5,5,5,5
"160",1,NA,2,3,4,5,6,7,8,8,3,3,1,1,5,1,5,2,3,1,5,5,5,5,5
"161",1,NA,2,3,4,5,6,7,8,1,3,3,1,1,5,1,5,2,3,1,5,5,5,5,5
"162",1,NA,2,3,4,5,6,7,8,3,3,3,1,1,5,1,5,2,3,1,5,5,5,5,5
"163",1,NA,2,3,4,5,6,7,8,2,3,3,1,1,1,1,1,2,3,1,1,1,1,1,1
"164",1,NA,2,3,4,5,6,7,8,7,3,3,1,1,1,1,1,2,3,1,1,1,1,1,1
"165",1,NA,2,3,4,5,6,7,8,6,3,3,1,1,1,1,1,2,3,1,1,1,1,1,1
"166",1,NA,2,3,4,5,6,7,8,5,3,3,1,1,1,1,1,2,3,1,1,1,1,1,1
